Company Short Name,Company Standard Name,Country of HQ,Primary Symbol,Primary Exchange Short,Primary Exchange Name,Industry,Primary ISIN,Summary,Divestment Shortlist,Prisons,Occupations,Borders,Link
RENK Group,RENK Group AG,Germany,R3NK,XMUN,BOERSE MUENCHEN,Specialty Industrial Machinery,DE000RENK730,"A German company that makes engines and transmissions for Israel's Merkava battle tank and Namer armored personnel carrier.
",1,,1,,https://investigate.info/company/renk
Restaurant Brands Intl,Restaurant Brands International Inc,Canada,QSR,TSX,TORONTO STOCK EXCHANGE,Restaurants,CA76131D1033,One of the world's largest fast-food restaurant companies. It uses prison labor at its restaurants and has prison labor in its supply chain.,,1,,,https://investigate.info/company/rbi
RLI,RLI Corp,USA,RLI,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Insurance - Property & Casualty,US7496071074,A US specialty insurance company. Provides surety bonds to bail bond companies including Libre by Nexus.,,1,,1,https://investigate.info/company/rli-corp
Roche Bobois,Roche Bobois SA,France,RBO,PAR,NYSE EURONEXT - EURONEXT PARIS,"Furnishings, Fixtures & Appliances",FR0013344173,A French furniture manufacturer that has a store in an illegal settlement in the occupied West Bank.,,,1,,https://investigate.info/company/roche-bobois
Rolls-Royce Hldgs,Rolls-Royce Holdings PLC,UK,RR.,LSE,LONDON STOCK EXCHANGE,Aerospace & Defense,GB00B63H8491,The UK's second largest weapons manufacturer. Its German subsidiary MTU makes the engines for Israel's main battle tanks and armored personnel carriers.,1,,1,,https://investigate.info/company/rolls-royce-hldgs
Roots Sustainable,Roots Sustainable Agricultural Technologies Ltd,Israel,ROOO,ASX,AUSTRALIAN SECURITIES EXCHANGE LIMITED,Farm & Heavy Construction Machinery,AU0000253809,An Israeli agricultural technology company that provides climate management technologies to illegal Israeli settlements in the occupied West Bank.,,,1,,https://investigate.info/company/roots-sustainable
Rotshtein Realestate,Rotshtein Realestate Ltd,Israel,ROTS,TASE,TEL AVIV STOCK EXCHANGE,Residential Construction,IL0005390153,An Israeli construction company that has built residential housing projects in illegal Israeli settlements in the occupied West Bank. It previously constructed facilities for the Israeli military.,1,,1,,https://investigate.info/company/rotshtein-realestate
RTX,RTX Corp,USA,RTX,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Aerospace & Defense,US75513E1010,"The world's second-largest military company, formerly known as Raytheon Technologies. It makes missiles, bombs, components for fighter jets, and other weapon systems used by the Israeli military against Palestinian civilians. Its surveillance technology is also used to monitor the U.S.–Mexico border.",1,,1,1,https://investigate.info/company/rtx
Salesforce,Salesforce Inc,USA,CRM,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Software-Application,US79466L3024,"A US-based cloud computing and AI company whose systems power the Unified Immigration Portal, a database used by US immigration enforcement agencies to monitor and surveil immigrants.",,,,1,https://investigate.info/company/salesforce
Salomon A. Angel,Salomon A. Angel Ltd,Israel,ANGL,TASE,TEL AVIV STOCK EXCHANGE,Confectioners,IL0001800189,Israel's largest bread company. It operates bakeries in at least seven illegal Israeli settlements in the occupied West Bank.,1,,1,,https://investigate.info/company/salomon-angel
Science Applications Intl,Science Applications International Corp,USA,SAIC,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Information Technology Services,US8086251076,A US military and intelligence contractor that provides license plate readers and other surveillance technologies to US immigration authorities.,1,,,1,https://investigate.info/company/saic
Serco Group,Serco Group PLC,UK,SRP,LSE,LONDON STOCK EXCHANGE,Business Services,GB0007973794,"A British multinational outsourcing company that operates prisons and immigration jails in Australia, Germany, New Zealand, and the UK.",1,1,,,https://investigate.info/company/serco-group
Shapir Eng & Industry,Shapir Engineering and Industry Ltd,Israel,SPEN,TASE,TEL AVIV STOCK EXCHANGE,Engineering & Construction,IL0011338758,An Israeli construction and infrastructure firm. Operates a quarry and concrete plant in the occupied West Bank and involved in several development projects in illegal settlements there.,,,1,,https://investigate.info/company/shapir-eng-industry
Shikun & Binui,Shikun & Binui Ltd,Israel,SKBN,TASE,TEL AVIV STOCK EXCHANGE,Engineering & Construction,IL0010819428,An Israeli infrastructure and construction company. Builds infrastructure and residential projects in multiple illegal settlements in the occupied West Bank and has a factory a factory in a settlement. Involved in building military checkpoints and the Gaza wall.,1,,1,,https://investigate.info/company/shikun-binui
Shufersal,Shufersal Ltd,Israel,SAE,TASE,TEL AVIV STOCK EXCHANGE,Grocery Stores,IL0007770378,One of the largest grocery store chains in Israel. It operates branches and manufactures food products in illegal Israeli settlements in the occupied West Bank and Golan Heights.,1,,1,,https://investigate.info/company/shufersal
Shunfeng Intl Clean,Shunfeng International Clean Energy Ltd,China,1165,HKG,STOCK EXCHANGE OF HONG KONG LTD,Solar,KYG8116S1057,A Chinese solar energy company. Its solar panels are used in illegal Israeli settlements in the occupied West Bank and Golan Heights.,1,,1,,https://investigate.info/company/shunfeng-intl-clean
Siemens,Siemens AG,Germany,SIE,ETR,XETRA,Diversified Industrials,DE0007236101,A German multinational conglomerate in the electronics and industrial engineering industries. Its equipment is installed in illegal settlement roads and a the railway tracks in the occupied West Bank.,,,1,,https://investigate.info/company/siemens
SMA Solar Tech,SMA Solar Technology AG,Germany,S92,"ETR
",XETRA,Solar,DE000A0DJ6J9,A German-owned solar energy equipment supplier whose equipment has been used at a solar field in an illegal Israeli settllement the occupied West Bank.,,,1,,https://investigate.info/company/sma-solar-technology
Smiths Group,Smiths Group PLC,UK,SMIN,LSE,LONDON STOCK EXCHANGE,Diversified Industrials,GB00B1WY2338,A British engineering company that provides X-ray and surveillance technologies to US immigration authorities for monitoring borders.,,,,1,https://investigate.info/company/smiths-group
Sodexo,Sodexo,France,SW,PAR,NYSE EURONEXT - EURONEXT PARIS,Business Services,FR0000121220,A French multinational food services and facilities management company that operates prisons in Australia and the UK.,1,1,,,https://investigate.info/company/sodexo
SolarEdge Technologies,SolarEdge Technologies Inc,Israel,SEDG,NASDAQ,NASDAQ,Solar,US83417M1045,An Israeli solar power company. Its systems are installed in illegal settlements in the occupied West Bank.,,,1,,https://investigate.info/company/solaredge-technologies
Solvay,Solvay SA,Belgium,SOLB,BRU,NYSE EURONEXT - EURONEXT BRUSSELS,Chemicals,BE0003470755,A Belgian multinational chemical company whose products were used in the construction of a water system for illegal settlements in the occupied West Bank.,,,1,,https://investigate.info/company/solvay
Sony Group,Sony Group Corp,Japan,6758,TKS,TOKYO STOCK EXCHANGE,Consumer Electronics,JP3435000009,"A Japanese multinational conglomerate that specializes in developing and manufacturing electronic equipment, gaming consoles, instruments, and software. Its cameras are used in surveillance systems in the occupied West Bank and Gaza Strip.",,,1,,https://investigate.info/company/sony
Sturm Ruger & Co,Sturm Ruger & Co Inc,USA,RGR,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Aerospace & Defense,US8641591081,"A US-based manufacturer of firearms and tactical gear. It sells its products to law enforcement, the US military, and foreign militaries, including the Israeli military, which uses Ruger weapons to target Palestinians.",1,1,1,,https://investigate.info/company/sturm-ruger-co
Sun,Sun Corp,Japan,6736,TKS,TOKYO STOCK EXCHANGE,Consumer Electronics,JP3336450006,A majority owner of Cellebrite,1,1,,1,https://investigate.info/company/cellebrite
SuperCom,SuperCom Ltd,Israel,SPCB,NASDAQ,NASDAQ,Security & Protection Services,IL0010830961,"An Israeli provider of electronic monitoring, cybersecurity, and digital identity products. Its subsidiary Leaders in Community Alternatives sells e-carceration tools and operates “community corrections” programs in the US and internationally.",1,1,,,https://investigate.info/company/supercom
Synovus Finl,Synovus Financial Corp,USA,SNV,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Banks-Regional,US87161C5013,A US-based bank holding and financial services company. Its subsidiary Synovus Bank has been one of the main financial backers of private prison company CoreCivic.,,1,,1,https://investigate.info/company/synovus-finl
Target,Target Corp,USA,TGT,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Discount Stores,US87612E1064,"A US retail company that sells household items, apparel, home furnishings, and other merchandise. It sells products that are produced using prison labor.",,1,,,https://investigate.info/company/target
Target Hospitality,Target Hospitality Corp,USA,TH,NASDAQ,NASDAQ,Conglomerates,US87615L1070,A US-based facility management services company that owns and partially operates two ICE immigration jails.,1,1,,1,https://investigate.info/company/target-hospitality
Taro Pharmaceutical Indus,Taro Pharmaceutical Industries Ltd,Israel,TARO,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Drug Manufacturers - Specialty & Generic,IL0010827181,An Israeli pharmaceutical manufacturer that benefits from selling to the captive Palestinian market.,,,1,,https://investigate.info/company/taro-pharmaceutical-indus
Tata Motors,Tata Motors Ltd,India,TATAMOTORS,NSE,NATIONAL STOCK EXCHANGE OF INDIA,Auto Manufacturers,INE155A01022,An Indian multinational automobile manufacturer that supplies Land Rover vehicles to the Israeli military for use in the occupied Palestinian territory.,,,1,,https://investigate.info/company/tata-motors
Teledyne Technologies,Teledyne Technologies Inc,USA,TDY,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Scientific & Technical Instruments,US8793601050,A US engineering and IT government contractor that provides CBP with mobile surveillance systems used to monitor the US–Mexico border.,1,,,1,https://investigate.info/company/teledyne-technologies
Tempur Sealy Intl,Tempur Sealy International Inc,USA,TPX,NYSE,"NEW YORK STOCK EXCHANGE, INC.","Furnishings, Fixtures & Appliances",US88023U1016,A US manufacturer of mattresses and other bedding products that has a store in an illegal settlement in the occupied West Bank.,,,1,,https://investigate.info/company/tempur-sealy-international
Tera Light,Tera Light Ltd,Israel,TRLT,TASE,TEL AVIV STOCK EXCHANGE,Utilities-Renewable,IL0011801730,An Israeli solar energy company with projects in the occupied West Bank.,,,1,,https://investigate.info/company/tera-light
Terex,Terex Corp,USA,TEX,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Farm & Construction Equipment,US8807791038,"A US manufacturer of machinery and lift equipment for construction and infrastructure projects. Its equipment has been used in home demolitions and in the construction of Israel's separation wall, the Tel Aviv–Jerusalem railway, and military checkpoints. ",,,1,,https://investigate.info/company/terex
Teva Pharmaceutical Indus,Teva Pharmaceutical Industries Ltd,Israel,TEVA,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Drug Manufacturers - Specialty & Generic,IL0006290147,"An Israeli pharmaceutical company, the world's largest generic drug manufacturer. Part of an oligopoly of companies who benefit from selling to the Palestinian captive market.",,,1,,https://investigate.info/company/teva-pharmaceutical-indus
Textron,Textron Inc,USA,TXT,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Aerospace & Defense,US8832031012,"A US-based military contractor, known for its Beechcraft, Bell, Cessna, and Hawker aircraft, some of which are used to monitor the US–Mexico border and by the Israeli military.",1,,1,1,https://investigate.info/company/textron
Thales,Thales,France,HO,PAR,NYSE EURONEXT - EURONEXT PARIS,Aerospace & Defense,FR0000121329,A French IT and military company that designs biometric and identification management systems for US and European immigration authorities.,,,,1,https://investigate.info/company/gemalto
Themis GREN,Themis GREN Ltd,Israel,TMIS,TASE,TEL AVIV STOCK EXCHANGE,Real Estate Services,IL0010972292,"An Israeli real estate, construction, and development company that builds housing and commercial projects in the occupied Palestinian territory.",1,,1,,https://investigate.info/company/b-yair-building-1988
Thermo Fisher Scientific,Thermo Fisher Scientific Inc,USA,TMO,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Diagnostics & Research,US8835561023,A US-based pharmaceutical and biotech company that provides US immigration authorities with equipment for mass DNA testing of detained immigrants and Rapid DNA testing of migrant families at the US–Mexico border.,,,,1,https://investigate.info/company/thermo-fisher-scientific
Thomson Reuters,Thomson Reuters Corp,Canada,TRI,TSX,TORONTO STOCK EXCHANGE,Capital Markets,"CA8849038085
",A Canadian data broker and information services provider. It provides US immigration authorities with systems used to track and target immigrant communities and sells legal databases to prisons and jails.,1,1,,1,https://investigate.info/company/thomson-reuters
thyssenkrupp,thyssenkrupp AG,Germany,TKA,ETR,XETRA,Metal Fabrication,DE0007500001,"A German engineering company that has provided the Israeli Navy with warships and submarines
",1,,1,,https://investigate.info/company/thyssenkrupp
Tigbur- Temporary,Tigbur- Temporary Professional Personnel Ltd,Israel,TIGBUR,TASE,TEL AVIV STOCK EXCHANGE,Staffing & Outsourcing Services,IL0011050221,"An Israeli staffing agency for the private security industry. Its subsidiary Reshef Security provides security services to illegal Israeli settlements, infrastructure projects, and military checkpoints in the occupied West Bank and Golan Heights.",1,,1,,https://investigate.info/company/tigbur-temporary-profess
TKH Group,TKH Group NV,Netherlands,TWEKA,AMS,AMSTERDAM STOCK EXCHANGE,,NL0000852523,A Dutch technology company whose surveillance cameras are used to surveil Palestinians in the occupied West Bank and by prison and police agencies worldwide.,,,1,,https://investigate.info/company/tkh
Toyota Motor,Toyota Motor Corp,Japan,7203,TKS,TOKYO STOCK EXCHANGE,Auto Manufacturers,JP3633400001,"A Japanese multinational automotive manufacturer. Its vehicles are used by Israeli security forces to protect illegal settlements, carry out home demolitions, and suppress Palestinian demonstrations in the occupied West Bank.",,,1,,https://investigate.info/company/toyota-motor
Track Group,Track Group Inc,USA,TRCK,PINX,PINK SHEETS LLC (NQB),Scientific & Technical Instruments,US89237L1017,A US-based electronic monitoring company that provides prison and other law enforcement authorities with tracking and surveillance technologies.,,1,,,https://investigate.info/company/track-group
TransUnion,TransUnion,USA,TRU,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Consulting Services,US89400J1079,A US-based credit rating agency and data broker that provides risk mitigation services to immigration authorities and customized software to law enforcement agencies.,,,,1,https://investigate.info/company/transunion
Traton,Traton SE,Germany,8TRA,FWB,BOERSE BERLIN,Farm & Heavy Construction Machinery,DE000TRAT0N7,"A German manufacturer of commercial vehicles and engineering equipment, majority-owned by Volkswagen. It provides Israel with MAN vehicles, which are converted there into The Skunk, a crowd control weapon designed specifically for the military occupation. In addition, MAN buses are used by Egged, a large Israeli bus company that serves many illegal settlements in the occupied West Bank.",,,1,,https://investigate.info/company/traton
TripAdvisor,TripAdvisor Inc,USA,TRIP,NASDAQ,NASDAQ,Leisure,US8969452015,"An American digital travel and tourism company that owns and operates several search and booking websites. Its flagship website, TripAdvisor.com, lists many accommodations in illegal settlements on occupied Palestinian and Syrian land.",,,1,,https://investigate.info/company/tripadvisor
Tyson Foods,Tyson Foods Inc,USA,TSN,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Farm Products,US9024941034,One of the largest food manufacturing companies in the world. It uses incarcerated labor at its factories and has prison labor in its supply chain.,,1,,,https://investigate.info/company/tyson-foods
Valero Energy,Valero Energy Corp,USA,VLO,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Oil & Gas Refining & Marketing,US91913Y1001,A US multinational oil and gas company. Provides Israel with fuel for aircraft used by the Israeli air force against Palestinian civilians.,1,,1,,https://investigate.info/company/valero-energy
Villar International,Villar International Ltd,Israel,VILR,TASE,TEL AVIV STOCK EXCHANGE,Real Estate Services,IL0004160169,"An Israeli company that operates in construction, real estate, and archive services fields. It owns and operates industrial offices, rental properties, and archival facilities in several illegal Israeli settlements in the occupied West Bank.",,,1,,https://investigate.info/company/villar-international
Vinci,Vinci SA,France,DG,PAR,NYSE EURONEXT - EURONEXT PARIS,Engineering & Construction,FR0000125486,"VINCI's subsidiary SEMI led the project to electrify the Tel Aviv-Jerusalem railway, which crosses into the occupied West Bank.",,,1,,https://investigate.info/company/vinci
Virco Mfg,Virco Manufacturing Corp,USA,VIRC,NASDAQ,NASDAQ,"Furnishings, Fixtures & Appliances",US9276511097,A US-based manufacturer and supplier of furniture and equipment for K-12 schools. It uses prison labor and sells its products to prisons.,,1,,,https://investigate.info/company/virco-manufacturing
Volkswagen,Volkswagen AG,Germany,VOW3,ETR,XETRA,Auto Manufacturers,DE0007664039,"A German manufacturer of commercial vehicles and engineering equipment. Its subsidiary Traton provides Israeli with MAN vehicles, which are converted there into The Skunk, a crowd control weapon designed specifically for the military occupation. In addition, MAN buses are used by Egged, a large Israeli bus company that serves many illegal settlements in the occupied West Bank.",,,1,,https://investigate.info/company/volkswagen
Volvo,Volvo AB,Sweden,VOLV A,STO,OMX NORDIC EXCHANGE STOCKHOLM AB,Truck Manufacturing,SE0000115420,"A Swedish multinational manufacturer of trucks, buses, construction equipment, and industrial systems. Its vehicles and equipment have been used in demolitions of Palestinians' homes and in the construction of illegal Israeli settlements and settlement infrastructure in the occupied West Bank.",,,1,,https://investigate.info/company/volvo
Walmart,Walmart Inc,USA,WMT,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Discount Stores,US9311421039,The world’s largest retailer. Uses prison labor in its supply chain.,,1,,,https://investigate.info/company/walmart
Wendy's,The Wendy's Co,USA,WEN,NASDAQ,NASDAQ,Restaurants,US95058W1009,"A US holding company that owns Wendy's, one of the world's largest fast-food chains. It uses incarcerated labor.",,1,,,https://investigate.info/company/wendys
Western Union,The Western Union Co,USA,WU,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Credit Services,US9598021098,"A US-based multinational financial services company that facilitates money transfers to people held in prisons and jails, including immigration jails, across the US.",,1,,,https://investigate.info/company/geo-group
Woodward,Woodward Inc,USA,WWD,NASDAQ,NASDAQ,Aerospace & Defense,US9807451037,A US weapons manufacturer that makes components for multiple weapons systems used by Israel to target civilians.,1,,1,,https://investigate.info/company/woodward
WSP Global,WSP Global Inc,Canada,WSP,TSE,TORONTO STOCK EXCHANGE,Engineering & Construction,CA92938W2022,"WSP planned and designed the Jerusalem Light Rail, which connects illegal Israeli settlements in occupied East Jerusalem with the western part of the city, according to Who Profits.",,,1,,https://investigate.info/company/wsp-global
Wyndham Hotels & Resorts,Wyndham Hotels & Resorts Inc,USA,WH,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Lodging,US98311A1051,A US-based owner and operator of hotels and resorts that has a hotel in an illegal settlement in the occupied West Bank.,,,1,,https://investigate.info/company/wyndham-hotels-resorts
Ya'Acobi Brothers Group,Ya'Acobi Brothers Group(YSB) Ltd,Israel,YAAC,TASE,TEL AVIV STOCK EXCHANGE,Engineering & Construction,IL0011424210,An Israeli construction and infrastructure company that conducts projects in illegal Israeli settlements in the occupied Palestinian territory. Its subsidiary GreenNet operates a waste management facility in an illegal settlement in occupied East Jerusalem.,,,1,,https://investigate.info/company/yaacobi-brothers-group
Yamaha Motor,Yamaha Motor Co Ltd,Japan,7272,TKS,TOKYO STOCK EXCHANGE,Auto Manufacturers,JP3942800008,A Japanese vehicle manufacturer that provides all-terrain vehicles and watercraft to US Customs and Border Protection.,,,,1,https://investigate.info/company/yamaha-motor
Yum Brands,Yum Brands Inc,USA,YUM,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Restaurants,US9884981013,One of the world's largest fast-food restaurant companies. It's subsidiary KFC uses prison labor.,,1,,,https://investigate.info/company/yum-brands
Z M H Hammerman,Z M H Hammerman Ltd,Israel,ZMH,TASE,TEL AVIV STOCK EXCHANGE,Real Estate Services,IL0011040586,An Israeli construction and real estate company that has built residential and commercial projects in illegal Israeli settlements in the occupied West Bank. Its subsidiary Giltek Infrastructure Works has performed construction work for the Israeli Ministry of Defense.,1,,1,,https://investigate.info/company/z-m-h-hammerman
ZIM Integrated Shipping,ZIM Integrated Shipping Services Ltd,Israel,ZIM,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Marine Shipping,IL0065100930,"Israel's largest shipping company and one of the main shippers of weapons and military equipment to Israel.
",,,1,,https://investigate.info/company/zim
